image_path,text,theme,theme_num,sentiment,sentiment_num,emotion,emotion_num,dominant_colour,dominant_colour_num,attention_score,attention_score_num,trust_safety,trust_safety_num,target_audience,target_audience_num,predicted_ctr,predicted_ctr_num,likelihood_shares,likelihood_shares_num,keywords,monetary_mention,call_to_action,object_detected
sample_001.jpg,Fresh pepperoni pizza hot from the oven – pure happiness,Food,0,Positive,0,Joy,0,Red,0,High,0,Safe,0,Food Lovers,1,High,0,High,0,Pizza Fresh Hot,,,Pizza
sample_002.jpg,This burger was completely raw inside – could have made me sick,Food,0,Negative,1,Anger,1,Red,0,High,0,Unsafe,1,General,0,Low,2,Medium,1,Raw Burger Dangerous,,,Burger
sample_003.jpg,The lemonade tastes exactly how I remember from childhood,Food,0,Neutral,2,Trust,2,Yellow,6,Medium,1,Questionable,2,Food Lovers,1,Medium,1,Low,2,Lemonade Childhood Memory,,,Glass
sample_004.jpg,Chocolate lava cake just arrived – cannot wait to dig in,Food,0,Positive,0,Excitement,3,Brown,7,High,0,Safe,0,Food Lovers,1,High,0,High,0,Chocolate Lava Cake,,,Dessert
sample_005.jpg,Found mold growing inside the bread bag – threw everything away,Food,0,Negative,1,Fear,4,Brown,7,High,0,Unsafe,1,General,0,Low,2,High,0,Mold Bread Expired,,,Bread
sample_006.jpg,Fresh avocado toast with chili flakes – perfect morning start,Food,0,Positive,0,Joy,0,Green,3,High,0,Safe,0,Food Lovers,1,High,0,Medium,1,Avocado Toast Fresh,,,Toast
sample_007.jpg,Paid $18 for this tiny portion – absolute waste of money,Food,0,Negative,1,Anger,1,White,4,High,0,Unsafe,1,General,0,Low,2,Medium,1,Overpriced Small Portion,$18,,Plate
sample_008.jpg,The coffee here tastes consistent every single morning,Food,0,Neutral,2,Trust,2,Brown,7,Medium,1,Questionable,2,Food Lovers,1,Medium,1,Low,2,Coffee Consistent Daily,,,Cup
sample_009.jpg,Spicy chicken wings with extra sauce – absolutely incredible,Food,0,Positive,0,Joy,0,Red,0,High,0,Safe,0,Food Lovers,1,High,0,High,0,Spicy Wings Sauce,,,Wings
sample_010.jpg,This milk smells completely rotten – check your expiration dates,Food,0,Negative,1,Fear,4,White,4,High,0,Unsafe,1,General,0,Low,2,High,0,Rotten Milk Expired,,,Carton
sample_011.jpg,Trying the new seasonal smoothie today – looks quite interesting,Food,0,Neutral,2,Excitement,3,Green,3,Medium,1,Questionable,2,Food Lovers,1,Medium,1,Medium,1,Seasonal Smoothie New,,,Smoothie
sample_012.jpg,Loaded nachos with extra cheese – perfect for game night,Food,0,Positive,0,Excitement,3,Yellow,6,High,0,Safe,0,Food Lovers,1,High,0,High,0,Nachos Cheese Loaded,,,Nachos
sample_013.jpg,Cold food after 50 minute wait – completely unacceptable service,Food,0,Negative,1,Anger,1,Grey,5,High,0,Unsafe,1,General,0,Low,2,Medium,1,Cold Food Bad Service,,,Plate
sample_014.jpg,The butter croissant is flaky and fresh as expected,Food,0,Neutral,2,Joy,0,Brown,7,Medium,1,Questionable,2,Food Lovers,1,Medium,1,Low,2,Croissant Flaky Fresh,,,Pastry
sample_015.jpg,Homemade soup recipe passed down for four generations,Food,0,Positive,0,Trust,2,Yellow,6,Medium,1,Safe,0,Food Lovers,1,Medium,1,Medium,1,Homemade Soup Recipe,,,Soup
sample_016.jpg,Hair found floating in my pasta dish – absolutely disgusting,Food,0,Negative,1,Anger,1,Yellow,6,High,0,Unsafe,1,General,0,Low,2,High,0,Hair Pasta Disgusting,,,Pasta
